"name","hour","highest","ts"
"BYND","09","137.9700012207","2020-05-14 09:39:00-04:00"
"BYND","10","139.5599975586","2020-05-14 10:31:00-04:00"
"BYND","11","141.0","2020-05-14 11:15:00-04:00"
"BYND","12","138.2400054932","2020-05-14 12:57:00-04:00"
"BYND","13","137.7899017334","2020-05-14 13:00:00-04:00"
"BYND","14","135.7301025391","2020-05-14 14:12:00-04:00"
"BYND","15","135.8500061035","2020-05-14 15:54:00-04:00"
"DDOG","09","67.25","2020-05-14 09:32:00-04:00"
"DDOG","10","66.5500030518","2020-05-14 10:09:00-04:00"
"DDOG","11","65.0","2020-05-14 11:05:00-04:00"
"DDOG","11","65.0","2020-05-14 11:16:00-04:00"
"DDOG","11","65.0","2020-05-14 11:06:00-04:00"
"DDOG","11","65.0","2020-05-14 11:20:00-04:00"
"DDOG","12","64.8799972534","2020-05-14 12:54:00-04:00"
"DDOG","13","65.0","2020-05-14 13:02:00-04:00"
"DDOG","14","64.1299972534","2020-05-14 14:48:00-04:00"
"DDOG","15","65.8699035645","2020-05-14 15:54:00-04:00"
"FB","09","203.8677978516","2020-05-14 09:37:00-04:00"
"FB","10","203.3500061035","2020-05-14 10:53:00-04:00"
"FB","11","204.2700042725","2020-05-14 11:37:00-04:00"
"FB","12","205.1000061035","2020-05-14 12:56:00-04:00"
"FB","13","205.6399993896","2020-05-14 13:32:00-04:00"
"FB","14","204.9850006104","2020-05-14 14:29:00-04:00"
"FB","15","206.9299926758","2020-05-14 15:59:00-04:00"
"NFLX","09","452.0","2020-05-14 09:36:00-04:00"
"NFLX","10","446.5100097656","2020-05-14 10:08:00-04:00"
"NFLX","11","440.6400146484","2020-05-14 11:16:00-04:00"
"NFLX","12","440.3399963379","2020-05-14 12:59:00-04:00"
"NFLX","13","441.7799987793","2020-05-14 13:49:00-04:00"
"NFLX","14","441.4400024414","2020-05-14 14:30:00-04:00"
"NFLX","15","442.1400146484","2020-05-14 15:59:00-04:00"
"OKTA","09","178.0","2020-05-14 09:38:00-04:00"
"OKTA","09","178.0","2020-05-14 09:39:00-04:00"
"OKTA","10","177.8067932129","2020-05-14 10:10:00-04:00"
"OKTA","11","179.8899993896","2020-05-14 11:37:00-04:00"
"OKTA","12","179.0050048828","2020-05-14 12:57:00-04:00"
"OKTA","13","178.5","2020-05-14 13:02:00-04:00"
"OKTA","13","178.5","2020-05-14 13:03:00-04:00"
"OKTA","14","177.8099975586","2020-05-14 14:32:00-04:00"
"OKTA","15","177.8500061035","2020-05-14 15:05:00-04:00"
"PINS","09","16.5400009155","2020-05-14 09:32:00-04:00"
"PINS","09","16.5400009155","2020-05-14 09:31:00-04:00"
"PINS","10","16.6749992371","2020-05-14 10:53:00-04:00"
"PINS","10","16.6749992371","2020-05-14 10:54:00-04:00"
"PINS","11","16.9449996948","2020-05-14 11:18:00-04:00"
"PINS","12","17.0400009155","2020-05-14 12:57:00-04:00"
"PINS","13","17.0300006866","2020-05-14 13:26:00-04:00"
"PINS","14","16.9050006866","2020-05-14 14:21:00-04:00"
"PINS","14","16.9050006866","2020-05-14 14:22:00-04:00"
"PINS","15","17.0900001526","2020-05-14 15:51:00-04:00"
"PINS","15","17.0900001526","2020-05-14 15:50:00-04:00"
"SHOP","09","758.0900268555","2020-05-14 09:31:00-04:00"
"SHOP","10","752.0","2020-05-14 10:10:00-04:00"
"SHOP","10","752.0","2020-05-14 10:12:00-04:00"
"SHOP","11","757.4699707031","2020-05-14 11:16:00-04:00"
"SHOP","12","754.1599731445","2020-05-14 12:57:00-04:00"
"SHOP","13","755.8200073242","2020-05-14 13:01:00-04:00"
"SHOP","14","751.799987793","2020-05-14 14:57:00-04:00"
"SHOP","15","755.5700073242","2020-05-14 15:50:00-04:00"
"SNAP","09","16.7299995422","2020-05-14 09:31:00-04:00"
"SNAP","10","16.9300003052","2020-05-14 10:54:00-04:00"
"SNAP","11","17.1499996185","2020-05-14 11:07:00-04:00"
"SNAP","12","16.9899997711","2020-05-14 12:57:00-04:00"
"SNAP","13","17.0","2020-05-14 13:31:00-04:00"
"SNAP","14","16.9200000763","2020-05-14 14:57:00-04:00"
"SNAP","14","16.9200000763","2020-05-14 14:58:00-04:00"
"SNAP","15","16.9699993134","2020-05-14 15:08:00-04:00"
"SNAP","15","16.9699993134","2020-05-14 15:09:00-04:00"
"SQ","09","72.8099975586","2020-05-14 09:46:00-04:00"
"SQ","10","75.5899963379","2020-05-14 10:59:00-04:00"
"SQ","11","76.4899978638","2020-05-14 11:09:00-04:00"
"SQ","12","76.75","2020-05-14 12:59:00-04:00"
"SQ","13","77.1800003052","2020-05-14 13:48:00-04:00"
"SQ","14","77.2600021362","2020-05-14 14:59:00-04:00"
"SQ","15","78.25","2020-05-14 15:57:00-04:00"
"TTD","09","289.4498901367","2020-05-14 09:31:00-04:00"
"TTD","10","290.0700073242","2020-05-14 10:53:00-04:00"
"TTD","11","296.8562927246","2020-05-14 11:18:00-04:00"
"TTD","12","294.5","2020-05-14 12:57:00-04:00"
"TTD","13","296.0","2020-05-14 13:31:00-04:00"
"TTD","14","295.7699890137","2020-05-14 14:59:00-04:00"
"TTD","15","297.6700134277","2020-05-14 15:24:00-04:00"
